Conference,Conference Score,Conference Rank
SEC,29.09340277777778,1
Big 10,17.140123456790125,2
ACC,14.187254901960783,3
Big 12,13.157291666666667,4
PAC12,12.933333333333334,5
AAC,2.743253968253968,6
SBC,1.3896825396825396,7
MWC,-1.559469696969697,8
ConUSA,-7.826388888888888,9
MAC,-8.791666666666668,10
